ID,Name,Form,Level-up moves,Tm compatibility
1,Bulbasaur, ,1-MOVE_ANCIENT_POWER | 1-MOVE_BLOCK | 1-MOVE_TACKLE | 1-MOVE_GROWL | 4-MOVE_VINE_WHIP | 7-MOVE_WORRY_SEED | 10-MOVE_RAZOR_LEAF | 13-MOVE_POISON_POWDER | 13-MOVE_STUN_SPORE | 16-MOVE_CHARM | 19-MOVE_MAGICAL_LEAF | 22-MOVE_SLUDGE | 25-MOVE_NATURE_POWER | 28-MOVE_SEED_BOMB | 31-MOVE_TAKE_DOWN | 34-MOVE_LEECH_SEED | 37-MOVE_NATURAL_GIFT | 40-MOVE_AMNESIA | 43-MOVE_DOUBLE_EDGE | 46-MOVE_SYNTHESIS,TM56-MOVE_WEATHER_BALL
2,Ivysaur, ,1-MOVE_ANCIENT_POWER | 1-MOVE_BLOCK | 1-MOVE_TACKLE | 1-MOVE_GROWL | 4-MOVE_VINE_WHIP | 7-MOVE_WORRY_SEED | 10-MOVE_RAZOR_LEAF | 13-MOVE_POISON_POWDER | 13-MOVE_STUN_SPORE | 16-MOVE_CHARM | 19-MOVE_MAGICAL_LEAF | 22-MOVE_SLUDGE | 25-MOVE_NATURE_POWER | 28-MOVE_SEED_BOMB | 31-MOVE_TAKE_DOWN | 34-MOVE_LEECH_SEED | 37-MOVE_NATURAL_GIFT | 40-MOVE_AMNESIA | 43-MOVE_DOUBLE_EDGE | 46-MOVE_SYNTHESIS | 49-MOVE_GROWTH | 52-MOVE_EARTH_POWER | 55-MOVE_SLEEP_POWDER,TM56-MOVE_WEATHER_BALL
3,Venusaur, ,1-MOVE_ANCIENT_POWER | 1-MOVE_BLOCK | 1-MOVE_TACKLE | 1-MOVE_GROWL | 7-MOVE_WORRY_SEED | 10-MOVE_RAZOR_LEAF | 13-MOVE_POISON_POWDER | 13-MOVE_STUN_SPORE | 16-MOVE_CHARM | 19-MOVE_MAGICAL_LEAF | 22-MOVE_SLUDGE | 25-MOVE_NATURE_POWER | 28-MOVE_SEED_BOMB | 31-MOVE_TAKE_DOWN | 32-MOVE_PETAL_DANCE | 34-MOVE_LEECH_SEED | 37-MOVE_NATURAL_GIFT | 40-MOVE_AMNESIA | 43-MOVE_DOUBLE_EDGE | 46-MOVE_SYNTHESIS | 50-MOVE_GROWTH | 54-MOVE_EARTH_POWER | 58-MOVE_SLEEP_POWDER | 63-MOVE_POWER_WHIP | 68-MOVE_LEAF_STORM,TM34-MOVE_SLUDGE_WAVE | TM56-MOVE_WEATHER_BALL
4,Charmander, ,1-MOVE_BLOCK | 1-MOVE_HOWL | 1-MOVE_SCRATCH | 1-MOVE_GROWL | 5-MOVE_EMBER | 7-MOVE_TWISTER | 10-MOVE_SEISMIC_TOSS | 13-MOVE_BREAKING_SWIPE | 17-MOVE_QUICK_ATTACK | 19-MOVE_DRAGON_BREATH | 22-MOVE_FLAME_BURST | 25-MOVE_METAL_CLAW | 28-MOVE_SCARY_FACE | 31-MOVE_BODY_SLAM | 34-MOVE_CRUNCH | 37-MOVE_INFERNO | 40-MOVE_RAGING_FURY | 43-MOVE_HEAT_CRASH | 46-MOVE_FLAMETHROWER | 49-MOVE_FLARE_BLITZ,TM54-MOVE_FALSE_SWIPE | TM62-MOVE_ACROBATICS
5,Charmeleon, ,1-MOVE_BLOCK | 1-MOVE_HOWL | 1-MOVE_SCRATCH | 1-MOVE_GROWL | 5-MOVE_EMBER | 7-MOVE_TWISTER | 10-MOVE_SEISMIC_TOSS | 13-MOVE_BREAKING_SWIPE | 16-MOVE_FIRE_FANG | 17-MOVE_QUICK_ATTACK | 20-MOVE_DRAGON_BREATH | 22-MOVE_FLAME_BURST | 25-MOVE_METAL_CLAW | 28-MOVE_SCARY_FACE | 31-MOVE_BLAZE_KICK | 34-MOVE_BODY_SLAM | 37-MOVE_CRUNCH | 40-MOVE_RAGING_FURY | 43-MOVE_INFERNO | 46-MOVE_FIRE_LASH | 49-MOVE_HEAT_CRASH | 52-MOVE_DRAGON_RUSH | 55-MOVE_FLARE_BLITZ,TM47-MOVE_LOW_SWEEP | TM54-MOVE_FALSE_SWIPE | TM62-MOVE_ACROBATICS
6,Charizard, ,1-MOVE_BELLY_DRUM | 1-MOVE_BLOCK | 1-MOVE_HOWL | 4-MOVE_EMBER | 7-MOVE_SMOKESCREEN | 10-MOVE_SEISMIC_TOSS | 13-MOVE_BREAKING_SWIPE | 16-MOVE_FIRE_FANG | 17-MOVE_QUICK_ATTACK | 20-MOVE_DRAGON_BREATH | 22-MOVE_FLAME_BURST | 25-MOVE_METAL_CLAW | 28-MOVE_SCARY_FACE | 31-MOVE_BLAZE_KICK | 34-MOVE_BODY_SLAM | 36-MOVE_AIR_SLASH | 37-MOVE_CRUNCH | 40-MOVE_RAGING_FURY | 43-MOVE_INFERNO | 46-MOVE_FIRE_LASH | 50-MOVE_SCORCHING_SANDS | 54-MOVE_HEAT_CRASH | 58-MOVE_DRAGON_RUSH | 62-MOVE_FLARE_BLITZ | 66-MOVE_DRAGON_DANCE,TM47-MOVE_LOW_SWEEP | TM54-MOVE_FALSE_SWIPE | TM58-MOVE_HURRICANE | TM62-MOVE_ACROBATICS | Tutor-MOVE_DRACO_METEOR
7,Squirtle, ,1-MOVE_BLOCK | 1-MOVE_FOLLOW_ME | 1-MOVE_TACKLE | 1-MOVE_TAIL_WHIP | 5-MOVE_WATER_GUN | 7-MOVE_WITHDRAW | 10-MOVE_AQUA_JET | 13-MOVE_WATER_PULSE | 16-MOVE_YAWN | 19-MOVE_RAPID_SPIN | 22-MOVE_BUBBLE_BEAM | 25-MOVE_AQUA_RING | 28-MOVE_AVALANCHE | 31-MOVE_BITE | 34-MOVE_SKULL_BASH | 37-MOVE_BODY_SLAM | 40-MOVE_MUDDY_WATER | 43-MOVE_SEISMIC_TOSS | 46-MOVE_FAKE_OUT | 49-MOVE_ZEN_HEADBUTT,
8,Wartortle, ,1-MOVE_BLOCK | 1-MOVE_FOLLOW_ME | 1-MOVE_TACKLE | 1-MOVE_TAIL_WHIP | 5-MOVE_WATER_GUN | 7-MOVE_WITHDRAW | 10-MOVE_AQUA_JET | 13-MOVE_WATER_PULSE | 16-MOVE_YAWN | 17-MOVE_MIRROR_COAT | 20-MOVE_RAPID_SPIN | 22-MOVE_BUBBLE_BEAM | 25-MOVE_AQUA_RING | 28-MOVE_AVALANCHE | 31-MOVE_BITE | 34-MOVE_SKULL_BASH | 37-MOVE_BODY_SLAM | 40-MOVE_MUDDY_WATER | 43-MOVE_SEISMIC_TOSS | 46-MOVE_FAKE_OUT | 49-MOVE_ZEN_HEADBUTT | 52-MOVE_HAZE | 55-MOVE_HYDRO_PUMP,
9,Blastoise, ,1-MOVE_BLOCK | 1-MOVE_DARK_PULSE | 1-MOVE_DRAGON_PULSE | 1-MOVE_FOLLOW_ME | 7-MOVE_WITHDRAW | 10-MOVE_AQUA_JET | 13-MOVE_WATER_PULSE | 16-MOVE_YAWN | 17-MOVE_MIRROR_COAT | 20-MOVE_RAPID_SPIN | 22-MOVE_BUBBLE_BEAM | 25-MOVE_AQUA_RING | 28-MOVE_AVALANCHE | 31-MOVE_BITE | 34-MOVE_SKULL_BASH | 36-MOVE_IRON_DEFENSE | 37-MOVE_BODY_SLAM | 40-MOVE_MUDDY_WATER | 43-MOVE_SEISMIC_TOSS | 46-MOVE_FAKE_OUT | 50-MOVE_ZEN_HEADBUTT | 54-MOVE_HAZE | 58-MOVE_HYDRO_PUMP | 62-MOVE_WATER_SPOUT | 66-MOVE_SHELL_SMASH,TM20-MOVE_TRI_ATTACK | TM46-MOVE_AURA_SPHERE | TM51-MOVE_WAVE_CRASH
10,Caterpie, ,1-MOVE_TACKLE | 1-MOVE_STRING_SHOT | 1-MOVE_BUG_BITE | 1-MOVE_STRUGGLE_BUG | 6-MOVE_ELECTROWEB,
11,Metapod, ,1-MOVE_HARDEN | 7-MOVE_IRON_DEFENSE,
12,Butterfree, ,1-MOVE_STRUGGLE_BUG | 13-MOVE_CONFUSION | 13-MOVE_GUST | 15-MOVE_POISON_POWDER | 15-MOVE_STUN_SPORE | 15-MOVE_SLEEP_POWDER | 17-MOVE_SILVER_WIND | 21-MOVE_AIR_CUTTER | 25-MOVE_OMINOUS_WIND | 29-MOVE_PSYBEAM | 33-MOVE_DRAINING_KISS | 37-MOVE_TAILWIND | 41-MOVE_AIR_SLASH | 45-MOVE_RAGE_POWDER | 49-MOVE_PSYCHIC | 53-MOVE_BUG_BUZZ | 57-MOVE_HURRICANE | 61-MOVE_QUIVER_DANCE,TM58-MOVE_HURRICANE | HM02-MOVE_FLY
13,Weedle, ,1-MOVE_POISON_STING | 1-MOVE_STRING_SHOT | 1-MOVE_BUG_BITE | 1-MOVE_STRUGGLE_BUG | 6-MOVE_POISON_TAIL,
14,Kakuna, ,1-MOVE_HARDEN | 7-MOVE_IRON_DEFENSE,
15,Beedrill, ,1-MOVE_FURY_ATTACK | 13-MOVE_TWINEEDLE | 15-MOVE_TOXIC_SPIKES | 17-MOVE_PIN_MISSILE | 21-MOVE_PURSUIT | 25-MOVE_FOCUS_ENERGY | 29-MOVE_POISON_JAB | 33-MOVE_ASSURANCE | 37-MOVE_FURY_CUTTER | 41-MOVE_DRILL_PECK | 45-MOVE_CROSS_POISON | 49-MOVE_AGILITY | 53-MOVE_RAGING_FURY | 57-MOVE_OUTRAGE | 61-MOVE_MEGAHORN,TM76-MOVE_BUG_BUZZ | TM83-MOVE_WORK_UP | HM02-MOVE_FLY
16,Pidgey, ,1-MOVE_FORESIGHT | 1-MOVE_MUD_SLAP | 1-MOVE_SAND_ATTACK | 1-MOVE_TACKLE | 3-MOVE_GUST | 5-MOVE_ECHOED_VOICE | 7-MOVE_TWISTER | 9-MOVE_QUICK_ATTACK | 11-MOVE_AIR_CUTTER | 13-MOVE_FEATHER_DANCE | 15-MOVE_SWIFT | 17-MOVE_MIRROR_MOVE | 19-MOVE_UPROAR | 21-MOVE_OMINOUS_WIND | 24-MOVE_STEEL_WING | 27-MOVE_WHIRLWIND | 30-MOVE_HYPER_VOICE | 34-MOVE_AIR_SLASH | 38-MOVE_AGILITY | 42-MOVE_TAILWIND | 46-MOVE_DOUBLE_EDGE | 50-MOVE_BRAVE_BIRD | 54-MOVE_SKY_ATTACK,
17,Pidgeotto, ,1-MOVE_FORESIGHT | 1-MOVE_MUD_SLAP | 1-MOVE_SAND_ATTACK | 1-MOVE_TACKLE | 3-MOVE_GUST | 5-MOVE_ECHOED_VOICE | 7-MOVE_TWISTER | 9-MOVE_QUICK_ATTACK | 11-MOVE_AIR_CUTTER | 13-MOVE_FEATHER_DANCE | 15-MOVE_SWIFT | 17-MOVE_MIRROR_MOVE | 18-MOVE_PURSUIT | 20-MOVE_UPROAR | 22-MOVE_OMINOUS_WIND | 25-MOVE_STEEL_WING | 28-MOVE_WHIRLWIND | 31-MOVE_HYPER_VOICE | 35-MOVE_AIR_SLASH | 39-MOVE_AGILITY | 43-MOVE_TAILWIND | 47-MOVE_DOUBLE_EDGE | 51-MOVE_BRAVE_BIRD | 55-MOVE_SKY_ATTACK,
18,Pidgeot, ,1-MOVE_FORESIGHT | 1-MOVE_MUD_SLAP | 1-MOVE_SAND_ATTACK | 1-MOVE_TACKLE | 3-MOVE_GUST | 5-MOVE_ECHOED_VOICE | 7-MOVE_TWISTER | 9-MOVE_QUICK_ATTACK | 11-MOVE_AIR_CUTTER | 13-MOVE_FEATHER_DANCE | 15-MOVE_SWIFT | 17-MOVE_MIRROR_MOVE | 18-MOVE_PURSUIT | 20-MOVE_UPROAR | 22-MOVE_OMINOUS_WIND | 25-MOVE_STEEL_WING | 28-MOVE_WHIRLWIND | 31-MOVE_HYPER_VOICE | 35-MOVE_AIR_SLASH | 36-MOVE_QUICK_GUARD | 40-MOVE_AGILITY | 44-MOVE_TAILWIND | 48-MOVE_DOUBLE_EDGE | 52-MOVE_BRAVE_BIRD | 56-MOVE_SKY_ATTACK,
19,Rattata, ,1-MOVE_BITE | 1-MOVE_ME_FIRST | 1-MOVE_TACKLE | 1-MOVE_TAIL_WHIP | 4-MOVE_FOCUS_ENERGY | 7-MOVE_SCREECH | 10-MOVE_QUICK_ATTACK | 13-MOVE_PURSUIT | 16-MOVE_ASSURANCE | 19-MOVE_FURY_SWIPES | 22-MOVE_ENDEAVOR | 25-MOVE_FIRE_FANG | 25-MOVE_ICE_FANG | 25-MOVE_THUNDER_FANG | 28-MOVE_HYPER_FANG | 31-MOVE_CRUNCH | 34-MOVE_FLAME_WHEEL | 38-MOVE_ZEN_HEADBUTT | 42-MOVE_REVERSAL | 46-MOVE_SUCKER_PUNCH | 50-MOVE_DOUBLE_EDGE | 54-MOVE_LAST_RESORT | 58-MOVE_FINAL_GAMBIT,TM01-MOVE_HONE_CLAWS | TM60-MOVE_QUASH
20,Raticate, ,1-MOVE_REVENGE | 1-MOVE_BITE | 1-MOVE_ME_FIRST | 1-MOVE_TACKLE | 4-MOVE_FOCUS_ENERGY | 7-MOVE_SCREECH | 10-MOVE_QUICK_ATTACK | 13-MOVE_PURSUIT | 16-MOVE_ASSURANCE | 19-MOVE_FURY_SWIPES | 20-MOVE_AFTER_YOU | 23-MOVE_ENDEAVOR | 26-MOVE_FIRE_FANG | 26-MOVE_ICE_FANG | 26-MOVE_THUNDER_FANG | 29-MOVE_HYPER_FANG | 32-MOVE_CRUNCH | 36-MOVE_TAKE_DOWN | 40-MOVE_FLAME_WHEEL | 44-MOVE_ZEN_HEADBUTT | 48-MOVE_REVERSAL | 52-MOVE_SUCKER_PUNCH | 56-MOVE_DOUBLE_EDGE | 60-MOVE_LAST_RESORT | 64-MOVE_FINAL_GAMBIT,TM01-MOVE_HONE_CLAWS | TM40-MOVE_AERIAL_ACE | TM54-MOVE_FALSE_SWIPE | TM60-MOVE_QUASH | TM65-MOVE_SHADOW_CLAW | TM87-MOVE_ROCK_CLIMB
21,Spearow, ,1-MOVE_GROWL | 1-MOVE_LEER | 1-MOVE_PECK | 4-MOVE_ASTONISH | 7-MOVE_QUICK_ATTACK | 10-MOVE_FURY_ATTACK | 13-MOVE_AIR_CUTTER | 16-MOVE_MIRROR_MOVE | 19-MOVE_AERIAL_ACE | 22-MOVE_ASSURANCE | 25-MOVE_FEATHER_DANCE | 28-MOVE_FOCUS_ENERGY | 31-MOVE_AGILITY | 34-MOVE_TAKE_DOWN | 38-MOVE_DRILL_PECK | 42-MOVE_DETECT | 46-MOVE_TAILWIND | 50-MOVE_DOUBLE_EDGE | 54-MOVE_SKY_ATTACK,TM12-MOVE_TAUNT | TM58-MOVE_HURRICANE
22,Fearow, ,1-MOVE_DUAL_WINGBEAT | 1-MOVE_GROWL | 1-MOVE_LEER | 1-MOVE_PECK | 4-MOVE_ASTONISH | 7-MOVE_QUICK_ATTACK | 10-MOVE_FURY_ATTACK | 13-MOVE_AIR_CUTTER | 16-MOVE_MIRROR_MOVE | 19-MOVE_AERIAL_ACE | 20-MOVE_PURSUIT | 23-MOVE_TAKE_DOWN | 26-MOVE_FEATHER_DANCE | 29-MOVE_FOCUS_ENERGY | 32-MOVE_AGILITY | 35-MOVE_STEEL_WING | 38-MOVE_DRILL_PECK | 41-MOVE_WHIRLWIND | 44-MOVE_DETECT | 48-MOVE_TAILWIND | 52-MOVE_DOUBLE_EDGE | 56-MOVE_SKY_ATTACK | 60-MOVE_BRAVE_BIRD,TM01-MOVE_HONE_CLAWS | TM12-MOVE_TAUNT | TM58-MOVE_HURRICANE | TM60-MOVE_QUASH | TM65-MOVE_SHADOW_CLAW | TM95-MOVE_SNARL | HM01-MOVE_CUT
